sub_id,label,window_index,window_start_sec_ppg,status_ppg,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,window_start_sec_eda,status_eda,eda_mean_scl,eda_slope_scl,eda_num_scr,eda_mean_scr_amp,eda_sum_scr_amp,eda_variance,eda_range,eda_deriv_mean
4,excitement,5,75.0,ok,113.77777777777776,527.34375,139.6996464238099,118.19589289489811,187.71688844729272,0.8333333333333334,0.8333333333333334,62.5,128.53086124221943,131.29752777037012,53016.84005364475,0.9789282663951648,0.2372479240806643,75.0,ok,344.43742707594936,-0.5321710794542712,12,21.792681306444816,261.5121756773378,282.56217132847894,133.71686262893598,-0.0008404724730018
4,excitement,6,89.265625,ok,100.6912991656734,595.8806818181819,173.3085525042721,138.9976101014162,276.63820400201695,0.8461538461538461,0.8461538461538461,132.8125,195.1968962609581,146.98393920383188,90134.83394050604,1.32801513769655,0.3053435114503817,90.0,ok,340.8410769380197,0.1958205158716059,14,15.843665642128355,221.81131898979697,228.28430781018588,122.26659308960512,0.0056934886005096
5,frustration,0,0.0,failed_hp,,,,,,,,,,,,,,0.0,ok,335.9639443575174,0.1633022753443749,13,39.72831512392963,516.4680966110852,658.1961211122831,165.31787840853946,0.0016765885832549
5,frustration,1,15.0,ok,176.36048526863087,340.2122641509434,150.56404091159462,126.1215120527388,215.14893097573133,0.9111111111111112,0.8444444444444444,78.125,152.01910744303748,133.32519506413217,63673.72812799035,1.1402129010192943,0.3331667499583541,15.0,ok,336.75525419525513,-0.2817322045930474,12,81.60677843258047,979.2813411909656,2099.4283796832583,301.0359965576365,-0.0639639436840527
5,excitement,3,45.0,ok,171.0,350.87719298245617,139.9095523368691,122.4473344385261,181.36389650569697,0.8333333333333334,0.6875,78.125,125.85643261559474,136.67049464625572,54038.09823881745,0.9208749331108296,0.2502627759147104,45.0,ok,320.80629645139305,0.4372536948775055,12,44.55714472421784,534.685736690614,576.9933114731821,135.34877157134773,-0.0121873253245262
5,excitement,4,60.0,ok,154.50125733445097,388.3463541666667,129.4767042863454,110.6818994729104,179.92868538856692,0.8947368421052632,0.7368421052631579,70.3125,126.86648872373269,125.34342161980604,49957.228712467695,1.0121511530820215,0.214788165172099,60.0,ok,325.0917998759455,-0.4216516109736214,11,82.47993656425623,907.2793022068186,2362.777420232753,255.0898288254905,-0.0113852245824355
5,excitement,5,63.203125,ok,169.0566037735849,354.9107142857143,139.99469001865168,116.7277923976012,192.5966063702216,0.9130434782608696,0.782608695652174,78.125,136.09292951029798,144.4179476895751,61745.68377556129,0.942354684355634,0.1007404422505414,64.25,ok,324.1666113511175,-1.388422475565952,12,79.52530501617063,954.3036601940476,2461.5634452923723,255.0898288354637,-0.0420298995078379
5,frustration,0,0.0,ok,124.74576271186442,480.9782608695652,165.35666594686285,135.53168081740267,204.07723631594223,0.8823529411764706,0.7647058823529411,125.0,144.09349474989756,186.4427371806283,84399.46962747353,0.772856572097511,0.271419524111101,0.0,ok,346.53281300291314,-0.5110466545836916,13,78.45493143654745,1019.914108675117,2545.6699384658727,291.9576985007584,-0.0092004312263528
5,frustration,3,45.0,ok,124.54054054054056,481.7708333333333,86.25257896707913,85.9375,185.2073373614016,1.0,1.0,54.6875,116.00970628841792,60.7669890082189,22146.84762509893,1.9090909090909096,0.3462603878116344,45.0,ok,344.0954848731581,0.025870236190811,13,94.78853425863778,1232.250945362291,3020.619662030376,257.1499196825156,-0.0077614329100707
5,neutral,5,,,,,,,,,,,,,,,,75.0,ok,336.3909553221802,1.2838762703901885,11,104.0277371697728,1144.3051088675008,3347.1143153317994,273.5826073668112,0.1253646509629951
5,excitement,6,,,,,,,,,,,,,,,,90.0,ok,349.7719955141781,-1.5631094055326442,11,128.10213823169948,1409.1235205486944,4453.963125410661,297.04008104304194,-0.0040771123581525
5,excitement,7,,,,,,,,,,,,,,,,105.0,ok,356.9045435254845,2.101445090648931,11,477.3446388170057,5250.791026987063,68989.68346853796,4825.759017240012,-0.0442454035496722
6,excitement,2,30.0,ok,144.26519337016575,415.9007352941176,115.81702964623548,128.43822326983513,194.8879313953828,0.8571428571428571,0.8095238095238095,62.5,136.42473751676883,107.20742515432389,45948.13253171293,1.272530678918806,0.3539321865930488,30.0,ok,325.0430795570544,0.840556250612921,12,134.5167219602907,1614.2006635234886,4903.958412023325,250.84746761747783,-0.0011262671944839
6,excitement,3,45.0,ok,171.06382978723403,350.74626865671644,152.09694254029873,139.58527672776478,216.60030033258647,0.9166666666666666,0.8,78.125,153.1590983859685,158.6234663593666,76323.82198908515,0.9655513266806413,0.3834355828220859,45.0,ok,339.3295632887408,0.2467957249627402,11,175.22723150677768,1927.4995465745544,7085.295686925627,327.325359712191,0.0310071075192773
6,excitement,4,60.0,ok,166.95652173913044,359.375,145.49373975818867,120.95047117487978,203.31209857317765,0.918032786885246,0.819672131147541,78.125,143.64648131084087,153.63429712717934,69331.89055347462,0.934989673509747,0.2048424761358515,60.0,ok,335.7428189670756,1.289628375759945,12,213.89128235280364,2566.695388233644,12491.935087719374,417.2047744383917,-0.0080096166407935
6,frustration,5,73.84375,ok,180.60138781804164,332.2233606557377,136.5355297292983,103.66525153106994,191.6978009133125,0.94,0.84,78.125,135.42900584808262,140.57290701803103,59808.5383865038,0.9634075919815146,0.1482359916987844,75.0,ok,322.9585873979488,-0.17881322214145,10,271.6666607089577,2716.6666070895767,14701.036027743308,439.6884861198873,0.0111131254815194
6,excitement,7,,,,,,,,,,,,,,,,100.09375,ok,316.2139924415249,2.0925560643870496,14,201.45709011971528,2820.399261676014,13960.201160418388,448.7354713881314,0.0662032155792149
6,excitement,0,0.0,failed_hp,,,,,,,,,,,,,,0.0,ok,334.3321084307344,0.5038877705607936,15,194.85054250787013,2922.758137618052,19880.369315529053,459.3568288836306,0.0015677431375926
6,excitement,1,15.0,failed_hp,,,,,,,,,,,,,,15.0,ok,314.02743032835144,2.1559081100698205,13,266.0003131153384,3458.0040704993985,20634.714103869675,457.47715176247766,0.2253553128048373
