sub_id,label,window_index,window_start_sec,status,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate
003,easy,0,0.0,failed_hp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
003,easy,1,15.0,failed_hp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
003,easy,2,30.0,ok,94.64788732394366,633.9285714285714,139.884910025067,94.92714391526653,190.6740886248487,1.0,0.75,125.0,132.5153692196761,134.29460510896007,55908.094447148454,0.9867512482140263,0.3757703291748083
003,easy,3,41.59375,ok,98.79194630872483,607.3369565217391,155.6581418123587,100.4278256583009,175.53926796649884,1.0,0.7857142857142857,109.375,123.82107076491423,181.7124011275322,70685.28203325531,0.6814123306752863,0.21486892995272883
003,hard,0,0.0,failed_hp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
003,hard,1,15.0,failed_hp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
003,hard,2,30.0,ok,100.2197802197802,598.6842105263158,171.61707857491123,142.4695767353118,276.5080572590366,1.0,0.9166666666666666,171.875,191.6585284730589,144.86518292522302,87225.21351535266,1.3230130567121143,0.3519577650681918
003,hard,3,42.453125,failed_hp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
004,easy,0,0.0,failed_hp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
004,easy,1,15.0,ok,72.70223752151463,825.2840909090909,182.0732408427766,174.16794382506214,261.68959725694106,0.75,0.75,125.0,178.23803978984117,270.46374020490254,151446.52736458278,0.6590090030360763,0.11020498126515318
004,easy,2,30.0,ok,59.381443298969074,1010.4166666666666,159.51450865743286,116.07545279768458,315.12568797029223,1.0,1.0,93.75,221.4364889812511,113.5839167855368,79016.1563603005,1.9495408790960773,0.11001100110011001
